"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","q2.5","q97.5"
"beta[1]",-0.093720026185125,-0.09457735,0.0694093278233897,0.06977775357,-0.20486965,0.022078925,1.00044016825214,12880.5468458052,5636.38191159238,-0.228500625,0.0439767449999999
"beta[2]",0.17487690404675,0.174525,0.0978446516247143,0.0983964555,0.01398996,0.33659625,0.999924975523355,10619.9352292444,6278.95619107409,-0.0153926075,0.371167175
"beta[3]",-0.61866277825,-0.618841,0.0714677976154581,0.0710528637000001,-0.73707355,-0.50066885,1.00026474601974,11559.0641227707,5644.56358517139,-0.7594082,-0.475931775
"beta[4]",0.0349783981,0.0349827,0.00194943959841088,0.0019770471,0.031774325,0.03815298,0.999980245616752,9039.8789421074,5642.33984352789,0.031207825,0.038731225
"beta[5]",-0.0599884139539875,-0.05985605,0.0753191092890617,0.075596098662,-0.1845608,0.0616902199999999,1.00068917891842,9835.74514940499,6289.24309400291,-0.208081525,0.0859112725
"beta[6]",-0.0254845846925375,-0.0281245,0.13210212717153,0.1313857881,-0.23492565,0.1962604,1.00005299137173,9046.93467816181,5454.78864182197,-0.274142025,0.24638215
"beta[7]",-0.108440300690812,-0.118546,0.264318101623992,0.2573482254,-0.52592865,0.34712145,1.00137623216221,2687.96605226622,3826.2544982449,-0.594516975,0.44571815
"beta[8]",-0.283687032495,-0.2862395,0.150871099295501,0.1494082737,-0.529626,-0.0329481200000003,1.00037251242347,8559.4305335603,5209.68611520958,-0.573007925,0.0226378574999999
"beta[9]",-0.108508764240337,-0.108318,0.0767521232125235,0.07684256496,-0.2345191,0.0185906199999998,1.00030023972567,10440.4399818244,5765.95557303708,-0.25797015,0.0440080724999999
"beta[10]",-0.2520777419375,-0.254752,0.122757734369111,0.123619188,-0.4473852,-0.0482562300000001,1.00038223867456,8325.98367254345,5517.77146942466,-0.48537545,-0.00537899800000006
"beta[11]",0.273834685217375,0.2713225,0.124779666025532,0.1227830016,0.06922046,0.48546675,1.00081123264009,11431.4796728568,5804.95342941489,0.030825665,0.5294136
"beta[12]",-0.0942010897803375,-0.0956403,0.106577991146823,0.10559625762,-0.26628305,0.0840975649999996,1.00045929791211,11710.9780764715,6027.6520933349,-0.295009225,0.12133195
"beta[13]",-0.4590588795,-0.4613065,0.0996208781495194,0.1003512636,-0.62462135,-0.29512925,1.00072981739602,11971.2431924798,6144.348353484,-0.651720075,-0.260525925
"beta[14]",0.232039257608475,0.2291615,0.14222813776981,0.1422599178,0.00635568050000001,0.4715099,1.00077364970891,7828.47212944406,5861.11661888914,-0.0368415475,0.52061615
"beta[15]",0.3194018449875,0.318736,0.0928208933443781,0.0921376596,0.1677555,0.4735059,1.00103907703011,11236.8845538026,5774.37247459125,0.13773405,0.5044323
"lambda[1]",0.0085043859605,0.006318575,0.00779102367340093,0.004635934527,0.0016018445,0.02275347,1.0027941040182,1210.07264154617,1588.20738359714,0.00119177925,0.02906291
"lambda[2]",0.01002563326525,0.007453105,0.0091224829041438,0.005510142204,0.0018546355,0.02689058,1.00315628632481,1200.61023371787,1578.79953924879,0.0014198355,0.0343785149999999
"lambda[3]",0.0135389977815,0.0100713,0.0123734217021975,0.007419857025,0.0025800565,0.03663009,1.00301227766131,1202.57888738706,1717.8226185358,0.001911676,0.0460756175
"lambda[4]",0.011599498823125,0.008659315,0.0106064061141528,0.006374772285,0.0021728155,0.0310626,1.00291273152254,1203.12437308892,1623.8681463656,0.00162391575,0.0403091075
"lambda[5]",0.0118404142595,0.008848625,0.0108439863022832,0.006488925072,0.002225813,0.031196,1.00298867969011,1216.39794109651,1680.390319977,0.001658771,0.0408295624999999
"lambda[6]",0.01106004802075,0.00824571,0.0101023699201456,0.006013003059,0.002096248,0.030250105,1.00302883879229,1212.01109741941,1709.43523049891,0.001570573,0.0377046975
"lambda[7]",0.008621408026375,0.006444295,0.00793749465736617,0.004737455562,0.001616051,0.022979275,1.00308000238948,1206.82004495858,1680.70986112847,0.00120652925,0.0292796675
"lambda[8]",0.005232389199375,0.00391369,0.0047442138004216,0.00285259653,0.00097977995,0.01408306,1.00319317270926,1203.029891245,1594.37960959347,0.000736139025,0.0180165675
"lambda[9]",0.00011380964765,8.49895e-05,0.000103619708737071,6.271635216e-05,2.1458855e-05,0.0003043394,1.00286291537742,1209.844200221,1564.8632218433,1.6124405e-05,0.000388791975
